age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,id
35,management,single,tertiary,no,1045,yes,no,cellular,17,apr,204,5,-1,0,unknown,no,33000
60,blue-collar,married,primary,no,686,yes,no,unknown,17,jun,147,2,-1,0,unknown,no,10815
61,retired,married,secondary,no,483,no,no,cellular,23,apr,164,1,-1,0,unknown,no,43529
36,self-employed,single,secondary,no,652,no,no,unknown,17,jun,187,1,-1,0,unknown,no,10821
58,technician,married,secondary,no,5618,yes,no,cellular,20,nov,361,2,189,1,failure,no,26812
36,admin.,divorced,secondary,no,-611,yes,no,unknown,27,may,222,1,-1,0,unknown,no,6363
62,retired,married,secondary,no,1486,no,no,cellular,28,apr,56,2,-1,0,unknown,no,33847
28,management,single,tertiary,no,223,yes,no,cellular,1,jun,303,1,278,3,success,yes,43852
51,blue-collar,married,secondary,no,463,yes,yes,cellular,15,jul,114,4,-1,0,unknown,no,14746
46,housemaid,married,unknown,no,1035,no,no,unknown,16,jun,703,1,-1,0,unknown,no,10710
39,services,single,secondary,no,7066,yes,no,cellular,15,may,667,3,357,3,other,yes,38115
43,blue-collar,married,secondary,no,1205,yes,no,unknown,6,may,769,2,-1,0,unknown,no,394
37,management,single,tertiary,no,171,yes,yes,cellular,7,aug,250,3,-1,0,unknown,no,19728
29,blue-collar,married,secondary,no,-8,yes,yes,unknown,4,jun,433,2,-1,0,unknown,no,8822
36,management,married,tertiary,no,59,yes,yes,unknown,4,jul,100,1,-1,0,unknown,no,12618
26,student,single,secondary,no,864,yes,no,cellular,15,may,659,1,-1,0,unknown,yes,38463
27,blue-collar,married,secondary,no,411,yes,yes,unknown,27,may,123,1,-1,0,unknown,no,6447
61,admin.,married,tertiary,no,1332,no,no,cellular,12,mar,156,1,-1,0,unknown,yes,31330
43,services,married,secondary,no,94,yes,yes,telephone,5,nov,68,1,-1,0,unknown,no,24133
36,technician,married,tertiary,no,404,no,no,unknown,17,jun,63,2,-1,0,unknown,no,10971
29,blue-collar,married,secondary,no,87,yes,no,unknown,6,jun,1330,3,-1,0,unknown,no,9586
26,technician,single,secondary,no,0,no,yes,cellular,30,jul,65,26,-1,0,unknown,no,17869
32,admin.,married,secondary,no,305,yes,no,unknown,30,may,200,3,-1,0,unknown,no,7815
41,services,married,secondary,no,4283,yes,no,unknown,12,jun,112,1,-1,0,unknown,no,10301
39,technician,divorced,secondary,no,291,yes,no,cellular,7,may,882,2,-1,0,unknown,yes,35579
36,management,single,secondary,no,1331,yes,no,cellular,13,may,77,3,174,1,other,no,37351
47,technician,married,tertiary,no,1127,no,no,cellular,11,aug,133,6,-1,0,unknown,no,20294
59,retired,married,primary,no,1115,no,no,unknown,19,jun,834,1,-1,0,unknown,yes,11546
35,technician,divorced,secondary,yes,-52,yes,no,unknown,20,may,265,1,-1,0,unknown,no,4511
40,management,married,secondary,no,99,no,no,cellular,9,feb,15,5,-1,0,unknown,no,30894
45,technician,married,tertiary,no,1780,no,no,unknown,9,jun,464,1,-1,0,unknown,no,9738
40,technician,married,secondary,no,503,yes,no,unknown,14,may,127,3,-1,0,unknown,no,2844
34,management,married,tertiary,no,589,no,no,cellular,19,apr,125,2,-1,0,unknown,yes,43493
37,management,single,tertiary,no,254,no,no,cellular,19,oct,120,1,-1,0,unknown,no,41878
60,blue-collar,married,primary,no,109,no,no,unknown,27,jun,349,5,-1,0,unknown,no,12397
31,technician,single,secondary,no,0,yes,no,cellular,6,may,239,3,-1,0,unknown,no,35032
31,management,single,tertiary,no,357,yes,no,unknown,23,may,77,3,-1,0,unknown,no,5569
43,management,married,tertiary,no,14355,no,no,cellular,20,nov,52,2,-1,0,unknown,no,26661
48,housemaid,married,secondary,no,3570,no,no,cellular,5,jun,58,2,-1,0,unknown,no,40174
35,services,single,secondary,no,417,yes,no,cellular,14,jul,201,3,-1,0,unknown,no,14373
47,technician,divorced,secondary,no,1013,no,no,cellular,15,sep,170,1,92,3,failure,yes,41571
39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,22,3,other,yes,34143
34,technician,married,secondary,no,1012,yes,yes,cellular,9,apr,353,2,163,1,success,no,31907
28,blue-collar,single,secondary,no,-284,yes,no,unknown,12,may,162,1,-1,0,unknown,no,2172
45,technician,married,secondary,no,1477,yes,no,cellular,8,jul,355,1,-1,0,unknown,no,13269
30,services,divorced,primary,no,459,yes,no,cellular,18,jul,494,1,-1,0,unknown,yes,15312
23,student,single,secondary,no,157,yes,no,unknown,6,may,54,1,-1,0,unknown,no,369
74,retired,married,secondary,no,935,no,no,cellular,25,oct,400,1,173,3,success,yes,45101
47,admin.,married,secondary,no,726,no,no,unknown,17,jun,60,3,-1,0,unknown,no,10996
29,self-employed,single,tertiary,no,3290,no,no,cellular,23,mar,136,1,291,2,success,yes,43345
43,services,divorced,secondary,no,7816,yes,no,telephone,15,may,16,3,-1,0,unknown,no,38603
38,management,married,tertiary,no,1066,yes,no,cellular,28,jan,86,1,189,1,failure,no,27886
33,admin.,single,secondary,no,285,yes,no,cellular,1,apr,427,1,329,1,other,no,31469
48,management,divorced,tertiary,no,700,yes,no,cellular,29,aug,488,2,-1,0,unknown,no,23844
32,blue-collar,married,secondary,no,5,no,no,cellular,20,nov,269,1,-1,0,unknown,no,26495
41,unemployed,divorced,secondary,no,271,yes,no,unknown,19,jun,196,2,-1,0,unknown,no,11457
43,technician,married,secondary,no,-1701,yes,no,unknown,26,may,285,1,-1,0,unknown,no,5722
34,management,married,tertiary,no,6463,yes,no,cellular,21,nov,40,1,-1,0,unknown,no,27027
55,entrepreneur,divorced,tertiary,no,903,yes,no,telephone,14,may,536,3,-1,0,unknown,no,37555
53,management,married,tertiary,no,490,yes,no,unknown,28,may,103,2,-1,0,unknown,no,6880
33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no,125
43,management,married,tertiary,no,8016,yes,no,unknown,15,may,422,3,-1,0,unknown,no,3462
52,technician,divorced,secondary,no,144,yes,no,cellular,15,may,362,1,-1,0,unknown,no,38496
56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no,41722
43,technician,single,tertiary,no,317,yes,no,cellular,18,jul,106,1,-1,0,unknown,no,15371
38,technician,married,secondary,no,1333,yes,no,telephone,11,may,21,5,346,6,other,no,36015
34,blue-collar,married,secondary,no,-53,yes,no,cellular,12,may,196,2,357,1,failure,no,36671
33,entrepreneur,single,tertiary,no,3017,no,no,cellular,21,nov,240,3,-1,0,unknown,no,27377
28,admin.,married,secondary,no,1595,no,no,unknown,9,sep,1,1,254,4,success,no,44758
53,admin.,divorced,secondary,no,372,no,yes,cellular,2,feb,126,2,-1,0,unknown,no,29213
48,management,married,tertiary,no,489,yes,no,unknown,13,may,60,1,-1,0,unknown,no,2627
27,self-employed,single,tertiary,no,5214,yes,no,unknown,28,may,94,1,-1,0,unknown,no,6912
30,blue-collar,married,primary,no,837,yes,no,cellular,15,apr,190,2,-1,0,unknown,no,32191
25,blue-collar,single,secondary,no,352,yes,no,unknown,30,may,156,5,-1,0,unknown,no,7840
51,blue-collar,married,secondary,no,8180,yes,no,cellular,20,nov,86,1,-1,0,unknown,no,26376
34,technician,single,tertiary,no,242,yes,no,unknown,6,may,112,1,-1,0,unknown,no,441
42,technician,married,secondary,no,27,no,no,cellular,14,aug,259,4,-1,0,unknown,no,20960
32,technician,married,tertiary,no,15,no,no,cellular,14,may,226,1,346,1,failure,no,37857
31,management,married,tertiary,no,8279,no,no,cellular,6,aug,533,2,-1,0,unknown,no,19353
32,technician,single,secondary,no,1089,no,no,cellular,6,sep,125,2,-1,0,unknown,no,44708
40,blue-collar,married,primary,no,558,yes,yes,unknown,21,may,56,3,-1,0,unknown,no,5070
46,management,married,tertiary,no,22452,yes,no,cellular,20,nov,284,1,-1,0,unknown,no,26181
71,retired,married,primary,no,2988,no,no,telephone,17,apr,130,1,-1,0,unknown,yes,32802
34,student,single,tertiary,no,1322,no,no,cellular,26,aug,170,3,-1,0,unknown,no,22924
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,yes,4818
38,services,married,secondary,no,8876,no,no,cellular,2,feb,280,1,75,1,failure,no,29134
36,technician,married,secondary,no,278,no,no,cellular,28,aug,121,16,-1,0,unknown,no,23562
59,technician,married,secondary,no,259,no,no,cellular,18,mar,224,1,-1,0,unknown,yes,31368
37,technician,divorced,tertiary,no,39,no,no,cellular,27,aug,74,3,-1,0,unknown,no,23329
34,unemployed,married,secondary,no,156,yes,no,cellular,5,may,136,5,-1,0,unknown,no,34404
36,blue-collar,married,primary,no,23,yes,no,unknown,6,may,400,2,-1,0,unknown,no,691
35,management,single,tertiary,no,863,no,no,cellular,11,aug,481,2,-1,0,unknown,no,20379
38,self-employed,married,tertiary,no,846,no,no,cellular,2,jun,253,1,-1,0,unknown,no,39877
44,services,married,secondary,no,-1621,yes,yes,unknown,3,jun,171,5,-1,0,unknown,no,8571
35,management,married,tertiary,no,0,yes,no,cellular,21,nov,189,1,128,2,other,no,27257
27,blue-collar,single,secondary,no,535,no,no,cellular,13,may,159,1,87,3,success,yes,43701
27,unemployed,single,tertiary,no,2033,no,no,telephone,2,mar,39,2,-1,0,unknown,no,31228
43,services,married,secondary,no,43,yes,no,cellular,18,may,199,1,-1,0,unknown,no,39035
42,technician,married,tertiary,no,1397,yes,no,cellular,6,feb,135,7,-1,0,unknown,no,30577
34,technician,single,tertiary,no,992,yes,no,cellular,5,feb,71,2,-1,0,unknown,yes,30449
47,technician,married,secondary,no,3466,yes,no,cellular,11,jul,853,2,-1,0,unknown,yes,14217
30,services,married,secondary,no,357,yes,no,unknown,27,may,659,4,-1,0,unknown,no,6271
52,admin.,married,secondary,no,941,no,no,cellular,4,feb,89,2,-1,0,unknown,no,30135
38,admin.,married,secondary,no,0,yes,no,unknown,15,may,225,1,-1,0,unknown,no,3456
26,unknown,single,secondary,no,1187,no,no,unknown,17,nov,44,1,-1,0,unknown,no,24515
60,entrepreneur,married,primary,no,0,no,no,unknown,18,jun,201,1,-1,0,unknown,no,11306
46,services,married,primary,no,599,no,no,cellular,22,aug,257,2,-1,0,unknown,no,22416
28,admin.,single,secondary,no,0,yes,yes,cellular,18,may,390,5,-1,0,unknown,yes,39358
33,student,single,tertiary,no,882,yes,no,cellular,6,feb,311,1,-1,0,unknown,no,30657
29,management,single,tertiary,no,841,no,no,cellular,5,feb,217,1,-1,0,unknown,no,30392
34,management,single,tertiary,no,1336,no,no,cellular,22,aug,217,6,-1,0,unknown,no,22534
27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no,42028
35,management,married,secondary,no,97,yes,no,unknown,29,may,135,4,-1,0,unknown,no,7323
33,management,single,tertiary,no,191,no,yes,telephone,9,jul,25,1,-1,0,unknown,no,13453
51,management,married,primary,no,192,no,no,unknown,18,jun,129,3,-1,0,unknown,no,11126
34,blue-collar,single,secondary,no,177,yes,no,unknown,8,may,500,1,-1,0,unknown,no,1332
50,blue-collar,married,secondary,no,1557,yes,no,unknown,7,may,263,6,-1,0,unknown,no,1053
37,entrepreneur,married,secondary,no,1290,no,no,cellular,9,feb,87,2,-1,0,unknown,no,30858
23,blue-collar,single,secondary,no,5145,yes,no,unknown,30,may,229,3,-1,0,unknown,no,7895
29,housemaid,married,tertiary,no,96,yes,no,cellular,18,may,226,1,-1,0,unknown,no,38936
34,management,married,tertiary,no,0,yes,no,cellular,30,apr,300,1,86,1,success,yes,34107
58,technician,married,secondary,no,178,no,no,cellular,28,jan,109,1,-1,0,unknown,no,27822
50,services,married,secondary,no,77,no,no,cellular,27,may,138,2,-1,0,unknown,no,39673
26,student,single,secondary,no,0,no,no,cellular,2,feb,1223,2,-1,0,unknown,yes,29334
38,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no,242
55,blue-collar,married,primary,no,396,no,no,cellular,22,aug,74,2,-1,0,unknown,no,22449
29,management,single,tertiary,no,4694,no,no,cellular,15,jun,181,1,-1,0,unknown,no,40255
60,retired,married,tertiary,no,0,no,no,cellular,25,aug,101,3,-1,0,unknown,no,22714
49,admin.,single,primary,no,655,yes,no,cellular,13,may,32,5,-1,0,unknown,no,37492
26,blue-collar,single,primary,no,36,no,yes,cellular,31,jul,34,32,-1,0,unknown,no,18782
25,student,married,secondary,no,37,no,no,unknown,24,jul,11,1,-1,0,unknown,no,44277
30,blue-collar,married,secondary,no,-6,yes,no,cellular,17,apr,461,1,-1,0,unknown,no,32702
31,services,married,secondary,no,395,no,no,telephone,19,nov,196,3,117,3,failure,no,26077
36,blue-collar,married,secondary,no,512,yes,no,unknown,16,may,343,1,-1,0,unknown,no,3667
34,technician,married,secondary,no,133,no,no,cellular,12,may,171,2,181,3,success,yes,43674
37,unemployed,married,unknown,no,4565,no,no,cellular,4,sep,369,1,-1,0,unknown,no,41431
28,self-employed,single,tertiary,no,25,no,no,cellular,9,jul,618,1,-1,0,unknown,no,13398
56,self-employed,married,unknown,no,0,no,no,cellular,19,aug,130,1,-1,0,unknown,no,21712
39,management,married,tertiary,no,151,yes,no,unknown,21,may,692,1,-1,0,unknown,no,4795
42,management,married,primary,no,470,yes,no,unknown,12,may,221,1,-1,0,unknown,no,2252
34,housemaid,married,tertiary,no,1265,yes,no,unknown,6,jun,397,3,-1,0,unknown,no,9484
36,services,single,secondary,yes,-455,no,no,unknown,27,may,124,1,-1,0,unknown,no,6273
41,housemaid,single,primary,no,1179,yes,no,unknown,11,jun,950,4,-1,0,unknown,no,10158
29,management,married,tertiary,no,16,yes,no,cellular,16,jul,605,6,-1,0,unknown,no,14986
34,technician,married,secondary,no,0,yes,no,cellular,3,feb,146,1,91,2,other,no,42855
25,services,single,secondary,no,162,yes,no,cellular,1,sep,531,2,-1,0,unknown,yes,41393
39,technician,married,tertiary,no,108,no,no,cellular,28,may,589,3,28,2,other,no,43828
53,technician,married,tertiary,no,3177,no,no,cellular,8,aug,92,2,-1,0,unknown,no,19798
57,housemaid,married,primary,no,2,no,no,telephone,9,jul,138,3,-1,0,unknown,no,13418
50,services,married,secondary,no,683,yes,yes,unknown,26,may,129,3,-1,0,unknown,no,5677
31,self-employed,married,tertiary,no,1134,no,no,cellular,6,feb,174,2,-1,0,unknown,no,30693
34,blue-collar,single,primary,no,0,yes,no,unknown,8,may,323,1,-1,0,unknown,no,1240
52,management,married,tertiary,no,1065,yes,yes,cellular,21,nov,224,2,175,1,failure,no,27419
23,student,single,primary,no,1235,no,no,cellular,11,sep,122,2,91,3,failure,no,41540
34,management,single,tertiary,no,-444,yes,yes,cellular,17,apr,129,2,148,4,other,no,32960
46,technician,married,unknown,no,3308,no,no,cellular,27,oct,171,1,91,2,success,yes,45129
37,management,divorced,secondary,no,1287,yes,no,cellular,14,may,432,1,-1,0,unknown,no,37885
32,self-employed,single,secondary,no,360,yes,no,cellular,9,feb,175,3,259,4,failure,no,30898
47,housemaid,married,secondary,no,582,no,no,cellular,13,aug,73,1,-1,0,unknown,no,20906
54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success,yes,34075
29,blue-collar,married,primary,no,149,yes,no,cellular,15,may,242,2,-1,0,unknown,no,38364
59,blue-collar,divorced,primary,no,4399,yes,no,telephone,31,jul,69,8,-1,0,unknown,no,18279
28,blue-collar,married,secondary,no,0,yes,no,unknown,27,may,548,1,-1,0,unknown,no,6398
44,blue-collar,married,primary,no,6,no,no,cellular,10,jul,338,9,-1,0,unknown,no,13989
33,management,married,tertiary,no,516,yes,no,cellular,19,nov,245,4,-1,0,unknown,no,26095
47,blue-collar,married,primary,no,1294,yes,no,unknown,14,may,164,2,-1,0,unknown,no,2860
31,management,married,unknown,no,0,yes,no,unknown,26,may,763,6,-1,0,unknown,no,6053
33,technician,single,secondary,no,1769,yes,no,unknown,20,may,181,1,-1,0,unknown,no,4495
35,management,married,secondary,no,53,yes,no,cellular,18,nov,378,1,-1,0,unknown,no,25079
51,admin.,married,secondary,no,513,yes,no,unknown,14,may,534,1,-1,0,unknown,no,2840
31,technician,married,tertiary,no,0,yes,yes,unknown,13,may,164,2,-1,0,unknown,no,2666
30,unemployed,single,secondary,no,2616,no,no,cellular,5,feb,301,1,-1,0,unknown,no,30193
28,admin.,single,secondary,no,261,yes,yes,cellular,30,jul,269,7,182,9,success,no,44345
39,technician,married,secondary,no,-1451,yes,yes,cellular,30,jul,65,5,-1,0,unknown,no,17918
40,technician,single,secondary,no,-239,no,no,cellular,13,aug,399,2,-1,0,unknown,no,20934
52,blue-collar,single,primary,no,2024,yes,no,unknown,14,may,314,1,-1,0,unknown,no,2958
37,technician,single,secondary,no,670,yes,no,unknown,8,may,78,3,-1,0,unknown,no,1473
35,services,married,secondary,no,437,yes,no,unknown,26,may,240,1,-1,0,unknown,no,5914
42,blue-collar,married,primary,no,0,yes,no,unknown,9,may,214,2,-1,0,unknown,no,1920
39,blue-collar,married,secondary,no,123,no,no,unknown,17,jun,110,1,-1,0,unknown,no,10782
56,blue-collar,married,secondary,no,659,yes,no,cellular,29,jul,64,3,-1,0,unknown,no,17647
47,blue-collar,married,primary,no,699,no,no,cellular,5,aug,203,1,-1,0,unknown,no,19151
47,blue-collar,married,secondary,no,820,no,no,cellular,18,jan,262,1,91,1,success,yes,42699
34,blue-collar,single,secondary,no,-231,yes,no,cellular,13,may,9,8,-1,0,unknown,no,37216
32,technician,single,secondary,no,493,no,no,cellular,13,aug,289,2,-1,0,unknown,no,20808
27,services,single,secondary,no,4,yes,yes,unknown,9,may,490,1,-1,0,unknown,no,1754
25,admin.,single,secondary,no,768,yes,no,unknown,13,may,203,1,-1,0,unknown,no,2369
40,unemployed,divorced,secondary,no,991,yes,no,unknown,12,jun,316,2,-1,0,unknown,no,10445
50,blue-collar,married,primary,no,1580,yes,no,cellular,14,jul,111,3,-1,0,unknown,no,14351
35,services,married,secondary,no,630,yes,no,unknown,7,may,17,2,-1,0,unknown,no,1145
50,retired,married,primary,no,172,yes,yes,cellular,15,may,7,6,-1,0,unknown,no,38372
32,management,single,tertiary,yes,4,no,no,cellular,29,jan,181,1,-1,0,unknown,no,28251
35,management,single,secondary,no,73,yes,no,unknown,28,may,79,2,-1,0,unknown,no,6908
38,services,married,tertiary,no,563,yes,no,cellular,7,may,251,2,-1,0,unknown,no,35588
31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown,yes,8392
33,management,married,secondary,no,4385,no,yes,cellular,4,jul,92,1,-1,0,unknown,no,12678
45,admin.,divorced,secondary,no,984,yes,no,unknown,8,may,298,5,-1,0,unknown,no,1433
43,admin.,divorced,secondary,no,738,yes,no,cellular,21,nov,585,4,191,4,failure,no,27536
67,management,married,secondary,no,1287,no,no,cellular,2,feb,511,1,-1,0,unknown,no,42830
51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no,85
34,technician,married,secondary,no,883,yes,no,unknown,21,may,648,1,-1,0,unknown,no,4885
36,technician,married,secondary,no,627,no,yes,cellular,4,feb,146,3,244,1,other,no,30038
66,retired,married,primary,no,1943,no,no,cellular,24,aug,401,1,-1,0,unknown,no,41251
46,admin.,married,secondary,no,31,yes,yes,telephone,28,jul,302,2,-1,0,unknown,no,17206
35,management,married,tertiary,no,77,no,no,cellular,12,aug,69,4,-1,0,unknown,no,20501
45,blue-collar,married,secondary,no,79,yes,no,cellular,25,jul,98,1,-1,0,unknown,no,16952
30,technician,married,tertiary,no,1307,no,no,cellular,18,dec,248,6,-1,0,unknown,no,42522
28,admin.,single,secondary,no,1507,no,no,cellular,7,jul,92,1,-1,0,unknown,no,12916
35,entrepreneur,married,secondary,no,2074,yes,no,unknown,5,jun,144,7,-1,0,unknown,no,9262
28,technician,single,secondary,no,1536,yes,no,unknown,28,may,347,2,-1,0,unknown,no,6864
27,technician,married,secondary,no,7102,yes,no,unknown,30,may,141,9,-1,0,unknown,no,7726
33,technician,married,secondary,no,81,no,no,cellular,19,aug,671,2,-1,0,unknown,no,21524
28,technician,single,secondary,no,-9,yes,yes,unknown,9,may,175,5,-1,0,unknown,no,1618
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no,24060
35,technician,single,secondary,no,1861,yes,no,unknown,20,may,297,1,-1,0,unknown,no,4426
36,self-employed,married,tertiary,no,254,yes,no,telephone,17,jul,202,5,-1,0,unknown,no,15191
60,retired,divorced,secondary,no,4243,no,no,cellular,30,oct,416,2,-1,0,unknown,yes,42091
34,blue-collar,married,primary,no,329,yes,no,cellular,17,apr,952,1,343,1,failure,yes,32603
40,admin.,married,secondary,no,-54,yes,no,cellular,8,may,183,1,-1,0,unknown,no,35881
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,4
52,management,divorced,primary,no,11,no,no,cellular,6,feb,365,1,9,1,other,no,30667
42,management,married,tertiary,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no,26750
38,admin.,single,unknown,no,13,no,no,unknown,5,jun,21,1,-1,0,unknown,no,9042
36,blue-collar,married,primary,no,156,yes,no,cellular,21,nov,219,2,-1,0,unknown,no,27710
38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,78,2,193,2,failure,no,24616
36,self-employed,married,tertiary,no,2012,no,no,cellular,10,feb,188,7,-1,0,unknown,no,31025
25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,-1,0,unknown,yes,40081
54,blue-collar,married,secondary,no,466,no,no,cellular,29,aug,436,4,-1,0,unknown,no,23946
42,management,married,tertiary,no,154,no,no,cellular,26,aug,183,10,-1,0,unknown,no,23031
48,services,married,secondary,no,4300,yes,yes,cellular,25,aug,99,6,-1,0,unknown,no,22892
33,technician,divorced,secondary,no,558,yes,no,cellular,20,aug,109,3,-1,0,unknown,no,22044
50,management,married,tertiary,no,112,yes,no,cellular,4,nov,70,5,85,5,other,no,42148
32,technician,married,secondary,no,522,yes,yes,cellular,12,may,272,5,258,4,failure,no,36665
24,self-employed,single,tertiary,no,2376,no,no,cellular,27,apr,122,1,-1,0,unknown,yes,33834
47,blue-collar,married,primary,no,300,yes,no,unknown,13,may,103,3,-1,0,unknown,no,2544
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no,24686
67,retired,married,primary,no,8465,no,no,cellular,26,feb,234,1,-1,0,unknown,no,43169
71,retired,married,primary,no,0,no,no,cellular,16,sep,246,3,-1,0,unknown,no,41600
58,services,married,secondary,no,382,no,no,cellular,26,aug,384,4,-1,0,unknown,no,23128
41,technician,married,secondary,no,248,no,no,cellular,20,aug,156,2,-1,0,unknown,no,21907
31,technician,married,secondary,no,-292,yes,yes,unknown,3,jun,186,1,-1,0,unknown,no,8370
40,services,single,secondary,no,326,yes,no,cellular,6,may,242,2,169,2,failure,no,35082
34,management,single,tertiary,no,808,no,no,cellular,26,may,376,2,97,1,other,no,39571
34,management,single,tertiary,no,549,no,no,cellular,6,oct,1246,2,-1,0,unknown,yes,44941
35,technician,married,secondary,no,483,yes,no,cellular,11,jul,165,2,-1,0,unknown,no,14204
51,blue-collar,married,secondary,no,1151,yes,yes,cellular,29,jul,125,2,-1,0,unknown,no,17833
35,services,married,secondary,no,39,no,no,unknown,7,may,143,1,-1,0,unknown,no,926
36,management,married,tertiary,no,812,no,no,cellular,7,aug,99,4,-1,0,unknown,no,19604
28,admin.,married,secondary,no,-97,yes,no,cellular,13,may,129,1,-1,0,unknown,no,37021
60,blue-collar,married,primary,no,1477,yes,no,cellular,16,jul,69,3,-1,0,unknown,no,14930
35,services,married,tertiary,no,1359,no,no,unknown,17,jun,585,2,-1,0,unknown,no,11073
54,housemaid,married,primary,no,127,no,no,cellular,19,aug,176,4,-1,0,unknown,no,21607
55,technician,married,secondary,no,978,yes,no,unknown,19,may,259,1,-1,0,unknown,no,4220
35,blue-collar,single,secondary,no,275,yes,no,unknown,20,may,243,2,-1,0,unknown,no,4724
33,technician,married,tertiary,no,8023,no,no,cellular,25,feb,196,1,87,4,failure,no,43145
